title,company,skills,seniority,category,salary_min,salary_max,description
Senior Software Engineer,Acquia,"php, angular, api, Aws, Mysql, Ai, Ui, Git",senior,Engineering,,,"About Acquia Acquia is an open source digital experience company. We provide the world's most ambitious brands with technology that allows them to embrace innovation and create customer moments that matter. At Acquia, we believe in the power of community and collaboration - giving our customers the freedom to build tomorrow on their terms. Headquartered in Boston, we have been named one of North Americaâs fastest growing software companies as reported by Deloitte and Inc. Magazine, have been r"
Customer Success Manager II,Planet,"Rust, Ai, Ui",manager,Other,,,"Welcome to Planet. We believe in using space to help life on Earth. Planet designs, builds, and operates the largest constellation of imaging satellites in history. This constellation delivers an unprecedented dataset of empirical information via a revolutionary cloud-based platform to authoritative figures in commercial, environmental, and humanitarian sectors. We are both a space company and data company all rolled into one. Customers and users across the globe use Planet's data to develop new"
Staff Software Engineer Full Stack & AI Systems,Sully.ai,"python, ui, api, Typescript, React, Aws, Gcp, Azure, Ai, Ux, Ci/cd",mid,Engineering,200000,230000,"About Us At Sully.ai , Weâre Building the Most Impactful Healthcare Company on Earth We believe that access to a great doctor is a basic human right. Today, thatâs not a reality. Delays, misdiagnoses, administrative chaos, and burnout plague the system. Our Mission: One Human, One Doctor . We build AI teammates that augment clinicians â scribes, nurses, receptionists, translators â all powered by our own world-class models and deployed in real-world care. Our Traction 450+ organizations "
Associate Onboarding Manager,Comply,"Rust, Ai, Ui",manager,Sales,,,"Who Are We: Comply is the leading provider of compliance SaaS and consulting services for the global financial services sector. With more than 5,000 clients and hundreds of employees across the globe, Comply empowers Chief Compliance Officers and their teams to proactively manage regulatory obligations, mitigate risk, and scale with efficiency and confidence. Comply serves thousands of global financial services clients including broker-dealers, insurers, investment banks, private funds, RIAs, an"
Lead Product Designer Hybrid,Weedmaps,"Rust, Api, Ai, Ui, Git",lead,Design,,,"Lead Product Designer (Hybrid - 2 to 3 days onsite per week in Austin, TX) Overview: Weedmaps is seeking a highly creative, visionary Product Designer to help define the future of our mobile experience. As a Lead, Staff, or Principal Product Designer, youâll play a pivotal role in modernizing and reimagining the Weedmaps app â bringing it into the next generation of mobile design and social commerce. Youâll craft experiences that bridge utility and culture, blending marketplace, e-commerce"
Senior Platform Engineer,Cytora,"serverless, Python, Go, Aws, Gcp, Kubernetes, Terraform, Api, Ml, Ai, Ui, Git, Ci/cd",senior,Engineering,,,"Shape the Industry and Your Career At Cytora, now part of Applied Systems, weâre transforming how insurers and brokers connect, operate, and grow. Our AI-powered platform is driving smarter decisions, greater efficiency, and seamless collaboration across the global insurance ecosystem. As we accelerate digital transformation, weâre looking for curious, collaborative minds ready to help shape whatâs next. If youâre energized by innovation and inspired by impact, your future starts here. T"
Strategic Account Executive,Saviynt,"Go, Rust, Ai, Ui, Git",mid,Data,,,"Saviynt's AI-powered identity platform manages and governs human and non-human access to all of an organization's applications, data, and business processes. Customers trust Saviynt to safeguard their digital assets, drive operational efficiency, and reduce compliance costs. Built for the AI age, Saviynt is today helping organizations safely accelerate their deployment and usage of AI. Saviynt is recognized as the leader in identity security, with solutions that protect and empower the worldâs"
Mercor STEM Expert application via RippleMatch,Mercor,"Rust, Ai, Ui",mid,Other,60000,120000,"This role is with Mercor. Mercor uses RippleMatch to find top talent. About the Role Mercor is seeking a highly skilled Research and STEM Expert to join our AI evaluation and technical quality assurance team. In this role, you will analyze, evaluate, and fact-check AI-generated outputs across scientific, mathematical, and technical domains â ensuring the highest standards of factual accuracy, logical reasoning, and clarity. You will help improve the reasoning and reliability of cutting-edge La"
SaaS Growth Marketer,Land Insights,"Go, Ai, Ui, Git",mid,Marketing,80000,180000,"Title: Growth Marketing Manager (Full-Time) Location: Remote OTE: $6,000â$12,000/month (salary + performance bonuses) Who We Areâ¦ Land Insights is one of the fastest-growing proptech platforms in the land investing and real estate development space. Launched in 2023, we disrupted an industry that had been operating in the dark agesâ¦ replacing spreadsheets, manual research, and guesswork with a true end-to-end data and AI solution for land investors. From choosing profitable markets, to ana"
Finance Data Analyst,Circle.so,"Ai, Ui",mid,Engineering,,,"About Us Circle is building the worldâs leading all-in-one platform for online communities. We make it possible for creators, coaches, educators, and businesses to bring together their audience with engaging discussions, live streams, events, chat, courses, and payments â all in one place, all under their own brand. Weâre proud to be a fully remote company of around 200 (and growing!) team members from 30+ countries around the world. We seek exceptional individuals around the world, set th"
Senior Product Manager,Maven,Ai,senior,Engineering,,,"About Maven Maven is reinventing our post-secondary education system from the ground up. We're starting with practical, professional courses on key skills taught by leading experts in your field. Think: learning AI Product Management from a head of product at OpenAI or an engineering lead at Meta. Our cohort-based model means our engagement rates are 80-90% instead of the 5-10% from video-based learning. Maven's marketplace has 500+ expert-led cohort-based courses, 70K+ student alumni, and 700K+"
SAP S4 HANA EWM Functional Consultant,cBEYONData,"Go, Rest, Ui",mid,Other,,,cBEYONData is seeking a highly skilled and experienced team member to join our team in support configuration of the SAP Extended Warehouse Management (EWM) functionality for our Federal client. The focus across the broader program includes participating in Business Process Re-engineering sessions to analyze the current Business Process in existing ECC systems and how they need to be designed when transitioning into a consolidated SAP S/4 environment. If you are interested in joining a high perfo
Web Designer,Wing Assistant,"ux, Go, Rust, Ml, Ai, Figma, Ui, Css, Git",mid,Design,,,"About Us Wing Assistant provides dedicated remote talent to entrepreneurs, executives, and fast-growing teams - helping them move faster, stay focused, and operate at a higher level. Our mission is simple: free people from work that slows them down, so they can do the work that matters. Our website and digital design presence are core growth engines. The way we visually communicate trust, clarity, and value directly impacts conversions, perception, and adoption. We are expanding our web team wit"
Intern Software Development,Netomi,"java, Rest, Ai, Ui",intern,Engineering,,,"About the Company: Netomi is the leading agentic AI platform for enterprise customer experience. We work with the largest global brands like Delta Airlines, MetLife, MGM, United, and others to enable agentic automation at scale across the entire customer journey. Our no-code platform delivers the fastest time to market, lowest total cost of ownership, and simple, scalable management of AI agents for any CX use case. Backed by WndrCo, Y Combinator, and Index Ventures, we help enterprises drive ef"
Senior Financial Analyst,Precision for Medicine,"Go, Ui",senior,Data,,,"Position Summary: This position is a hybrid between a project budget analyst supporting the operational project teams financially, and an accountant supporting all general ledger functions and the month-end close cycle. Essential functions of the job include but are not limited to: Support the project teams in all financial areas associated with running a clinical trial. Assist in the preparation of the monthly invoicing worksheet which is the source document for client invoicing and source of r"
DevOps Engineer,HappyCo,"devops, postgresql, golang, Go, Ruby, Gcp, Terraform, Api, Ai, Ui, Ux, Git, Ci/cd",mid,Engineering,,,"HappyCo is a company where people can grow their careers and work with like minded people, with no egos or politics. HappyCo is values driven and offers a flexible, supportive culture. Join HappyCo and Make Work Happy ! At HappyCo, we build technology that empowers property managers, owners, and teams to deliver better experiences for their residents and customers. As an AI-powered company, weâre constantly innovating, and our infrastructure is the backbone that makes it all possible. As a Dev"
IT Specialist,Circle.so,"Go, Ai, Ui",mid,Finance,,,"About Us Circle is building the worldâs leading all-in-one platform for online communities. We make it possible for creators, coaches, educators, and businesses to bring together their audience with engaging discussions, live streams, events, chat, courses, and payments â all in one place, all under their own brand. Weâre proud to be a fully remote company of around 200 (and growing!) team members from 30+ countries around the world. We seek exceptional individuals around the world, set th"
Software Engineering Internship Summer 2026,OpenSesame,"Ml, Ai, Ui, Ci/cd, Devops",intern,Engineering,,,"About OpenSesame OpenSesame is transforming workforce development with an AI-powered marketplace of 60,000+ skill-building courses and learning pathways. We help organizations build skills and stay compliant through a high-quality content catalog, seamless LMS/LXP integrations, and advanced capabilities like skills-based curation and multilingual content creation. More than 2,000 companies, including 150+ of the Global 2000, rely on OpenSesame to develop the worldâs most productive and admired"
Senior Software Engineer Integrations,Jobgether,"Java, Go, Terraform, Rest, Api, Ai, Ui, Git, Agile, Ci/cd",senior,Engineering,,,"This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Senior Software Engineer, Integrations in United States. In this role, you will join a fast-growing engineering environment focused on building modern, high-impact healthcare technology. You will contribute to complex integrations, scalable services, and platform enhancements that support product evolution and clinical intelligence. Working autonomously within agile teams, you will help drive tech"
Principal Engineer Asp.Net,WISEcode,"ui, api, Go, Aws, Rest, Ml, Ai, Ux",lead,Engineering,,,"At WISEcode, we're a well-funded, dynamic startup on a mission to transform how the world understands food. WISEcode makes personalized nutrition a reality based on facts â what truly is in our food â and marries this data with your preferences. Driven by AI and the worldâs most advanced food and nutrition database, WISEcode embraces the truth that we are all different: different needs, objectives, biology, and preferences. No one should be at the mercy of market spin or âexpertâ opini"
Leadership Development Director Independent &amp,Lifestyle Seed Consulting,"Ai, Ui",lead,Product,,,"We are an established organization in the Personal and Professional Development industry, helping professionals achieve success and fulfillment through leadership, training, and personal growth. This is an ideal opportunity for experienced professionals who want to apply their existing skills in training, coaching, leadership, or education in a rewarding remote role. If you are seeking more flexibility, autonomy, and purpose in your work, this opportunity allows you to grow and make an impact on"
Lead Narrative Designer Design Hybrid,Firesprite,"Api, Ai",lead,Design,,,"Firesprite is a visionary game development studio based in the heart of Liverpool. Proud to be an integral part of the PlayStation Studios family, we create showcase games that take players on thrilling journeys, with memorable characters, captivating narratives, and shared moments of excitement. Our commitment to the core values of Inclusivity, Bravery, Responsiveness, and Entrepreneurialism is a key driving force behind our work culture. Role Overview: We are looking for a Lead Narrative Desig"
Virtual Assistant $1 000 Weekly,Best Estimate Pro,"Go, Ai, Ui",mid,Other,170000,200000,"THIS JOB POSITION IS FOR CANDIDATES WHO ARE LIVING ONLY IN THE UNITED STATES OF AMERICA.Â I WILL DECLINE APPLICATIONS FROM CANDIDATES WHO ARE NOT PRESENTLY LIVING IN THE UNITED STATES. Â My name is Lance Bridges. I urgently need a reliable assistant who is available and ready to start working from home. I am currently in Australia for business and unable to attend to most of my tasks due to being swamped. My previous assistant just got married, and she moved to Canada with her Husband. I will re"
Software Engineer,Tech Innovations Inc.,"javascript, Python, Java, Ui",mid,Engineering,80000,120000,"We are looking for a Software Engineer to join our team. The ideal candidate will have experience in developing scalable applications and a passion for technology. Responsibilities include designing, coding, and testing software solutions. You will work closely with product managers and other engineers to deliver high-quality products. Requirements: - Bachelor's degree in Computer Science or related field - Proficiency in Java, Python, or JavaScript - Experience with cloud technologies - Strong "
Excellent Frontend Developer,Parseur,"Javascript, React, Node.js, Python, Java, Go, Rest, Api, Serverless, Ml, Ai, Ui, Ux, Css, Tailwind",mid,Engineering,70000,120000,"Position: Â Lead Frontend Developer Location: Â Fully remote, within GMT (London) up to GMT+8 (Singapore) time zones Schedule: Â Full-time Salary: Â Daily rate ranging $300 - $500 / day, depending on experience and qualifications Contract Type: Â Independent contractor (you must be able to invoice Parseur) Vacation: Â 20 to 40 leave days per year (unpaid) What Youâll Do You'll replace our co-founder as Lead Frontend Developer. Youâll be responsible for maintaining and evolving both the Parse"
Senior Software Engineer Back End,Tomo,"Rust, Ai, Ui, Git",senior,Engineering,,,"Who we are Tomo is a digital mortgage company on a mission to eliminate the greed and complexity in lending, helping homebuyers save thousands of dollars. Our AI-driven customer experience makes the lending process faster, less frustrating, and more affordable. By passing these savings directly to homebuyers, we eliminate excessive fees and inflated rates that cost Americans billions each year. Backed by top-tier venture investors, including Ribbit, Citi Ventures, NFX and Progressive Insurance, "
Global Elite Texas Work From Home Client Services Representative,Global Elite Empire,Ui,mid,Other,15,25,"Global Elite Texas is seeking a Part-Time Client Services Representative to join our team. This position is fully remote and offers flexible hours. Responsibilities include managing client inquiries, providing excellent customer service, and assisting with various administrative tasks. Ideal candidates should have strong communication skills and a passion for helping others. If you are looking for a rewarding opportunity to work from home, we encourage you to apply! Please mention the word **ELA"
Current openings,Coursera Sourcing,,mid,Other,60000,120000,Create a Job Alert Level-up your career by having opportunities at Coursera Sourcing sent directly to your inbox. Please mention the word **FORTITUDE** and tag RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1 when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
People Operations Leader,Sienna Charles,"Go, Rest, Ai, Ui, Ux",lead,HR,80000,150000,"Summary The premier luxury lifestyle company featured in Forbes is seeking a People Operations Lead to serve as the connective layer between the CEO and the rest of the organization. This role is a blend of People Ops, internal Chief of Staff, and leadership development. You will build the team, train managers, strengthen accountability, improve onboarding, run hiring pipelines, manage KPIs, and take over the internal workflow and questions that currently go to the CEO. This is a hands-on, execu"
Customer Service Director Role,Sienna Charles,"Go, Ai, Ui, Ux",manager,Other,70000,150000,"Summary Sienna Charles, a premier luxury lifestyle company featured in Forbes is seeking a hands-on Customer Service Director to lead and elevate our entire CS function. This is a producer role for someone who builds systems, improves processes, solves problems quickly, and drives consistent performance across a team. You will lead the CS team, refine SOPs, handle escalations, and create scalable workflows that support a high-touch luxury client experience. Key Responsibilities Customer Service "
Operations Manager Role,Sienna Charles,"Go, Ml, Ai, Ui, Ux",manager,Other,70000,150000,"Summary Sienna Charles, a premier luxury lifestyle company featured in Forbes is seeking a hands-on Customer Service Director to lead and elevate our entire CS function. This is a producer role for someone who builds systems, improves processes, solves problems quickly, and drives consistent performance across a team. You will lead the CS team, refine SOPs, handle escalations, and create scalable workflows that support a high-touch luxury client experience. Key Responsibilities Customer Service "
Python + AWS DevOps Engineer,nSoft,"devops, python, Aws, Kubernetes, Terraform, Ai, Ui",mid,Engineering,60000,80000,"Overview: We are seeking an exceptionally technical, hands-on DevOps Engineer whose primary responsibilities will involve AWS cloud architecture, infrastructure-as-code (Terraform), and expertise in RDS/Postgres. This is a full-time position for several months, with the possibility to extend. Key Responsibilities: Design, implement, and manage AWS cloud environments with Terraform and best DevOps practices, focusing on RDS/Postgres management and optimization. Build, monitor, and maintain CD pip"
Vice President Project Delivery,Avalere Health ,"Go, Api, Ai, Ui",mid,Design,,,"About Avalere Health United by one profound purpose: to reach EVERY PATIENT POSSIBLE . At Avalere Health, we ensure every patient is identified, treated, supported, and cared for. Equally. Our Advisory, Medical, and Marketing teams come together â powerfully and intentionally â to forge unconventional connections, building a future where healthcare is not a barrier and no patient is left behind. Achieving our mission starts with providing enriching, purpose-driven careers for our team that e"
Institutional Sales Representative Wealth &amp; Asset Management,Anchorage Digital,"Go, Rust, Ai, Ui, Ux, Git",mid,Design,,,"At Anchorage Digital, we are building the worldâs most advanced digital asset platform for institutions to participate in crypto. Anchorage Digital is a crypto platform that enables institutions to participate in digital assets through custody, staking, trading, governance, settlement, and the industry's leading security infrastructure. Home to Anchorage Digital Bank N.A., the only federally chartered crypto bank in the U.S., Anchorage Digital also serves institutions through Anchorage Digital"
Careers,Octopus Deploy,,mid,Other,60000,120000,Join us and do the best work of your life Please mention the word **WHOOA** and tag RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1 when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Staff Engineer Team Lead Market Data,Alpaca,"api, Go, Ai, Ui",lead,Engineering,,,"Who We Are: Alpaca is a US-headquartered self-clearing broker-dealer and brokerage infrastructure for stocks, ETFs, options, crypto, fixed income, 24/5 trading, and more. Our recent Series C funding round brought our total investment to over $170 million, fueling our ambitious vision. Amongst our subsidiaries, Alpaca is a licensed financial services company, serving hundreds of financial institutions across 40 countries with our institutional-grade APIs. This includes broker-dealers, investment "
Customer Success and Engagement Manager,Egen,"React, Go, Rust, Aws, Ai, Ui, Agile",manager,Engineering,,,"About Egen: Egen is a fast-growing and entrepreneurial company with a data-first mindset. We bring together the best engineering talent working with the most advanced technology platforms, including Google Cloud and Salesforce, to help clients drive action and impact through data and insights. We are committed to being a place where the best people choose to work so they can apply their engineering and technology expertise to envision what is next for how data and platforms can change the world "
Senior Software Engineer Agentic Assistant,Flock Safety,"ui, ux, postgresql, typescript, api, React, Go, Rust, Aws, Docker, Kubernetes, Terraform, Rest, Microservices, Machine learning",senior,Engineering,170000,190000,"Who is Flock? Flock Safety is the leading safety technology platform, helping communities thrive by taking a proactive approach to crime prevention and security. Our hardware and software suite connects cities, law enforcement, businesses, schools, and neighborhoods in a nationwide public-private safety network. Trusted by over 5,000 communities, 4,500 law enforcement agencies, and 1,000 businesses, Flock delivers real-time intelligence while prioritizing privacy and responsible innovation. Weâ"
Staff Backend Engineer Golang,Voodoo,"golang, Ai",mid,Engineering,,,"Remote - Founded in 2013, Voodoo is a tech company that creates mobile games and apps with a mission to entertain the world. Gathering 800 employees, 7 billion downloads, and over 200 million active users, Voodoo is the #3 mobile publisher worldwide in terms of downloads after G... Please mention the word **MAJESTIC** and tag RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1 when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1). This "
Software Engineer,Nomi Health,"serverless, Go, Golang, Aws, Graphql, Ui",mid,Engineering,,,"We are looking for a Software Engineer (Backend) to help us modernize the healthcare system through intelligent, scalable software. You will work with technologies like Golang, GraphQL, AWS Lambda, and Serverless to build platforms that power healthcare payments, operations, and real-time data exchange. Please mention the word **GRIN** and tag RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1 when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6Yz"
Senior Product Manager Payments,Coinme,"Api, Ml, Ai, Ui, Git, Blockchain",senior,Product,,,"At Coinme, weâre redefining access to financial services in a digital world. By combining the cutting-edge power of blockchain technology with everyday simplicity, we make digital currencies accessible and usable for all. As the world's largest network of cryptocurrency kiosks with over 40,000 locations nationwide, we're breaking down barriers to crypto adoption through our seamless mobile app, secure digital wallet, and DeFi integrations. Beyond our consumer offerings, we're also the infrastr"
Senior Amazon Brand Manager,GNO Partners,"Go, Rust, Ai, Ui",senior,Marketing,220000,300000,"Senior Amazon Brand Manager â GNO Partners GNO Partners was founded by Gal and Ouriel, who built and exited two successful Amazon brands. We help Amazon FBA sellers scale profitably using our proven system. We are a Done With You consultancy, meaning we donât manage client accountsâwe set the strategy, analyze their brand, and teach them how to execute using our resources. Why Join Us? Fully remote Amazon consulting agency. High-performance culture: hard work, speed, over-delivery, and tru"
Business Operations Manager,o1Labs,"web3, Go, Ai, Ui",manager,Marketing,80000,120000,"Business Operations Manager At o1Labs, our mission is to catalyze a new generation of applications powered by zero-knowledge cryptography. We are looking for a talented and motivated Biz Ops Manager to lead business operations, finance, and ecosystem growth initiatives. This is a chance to join a small, collaborative team and have a lot of independence. The Role You'll be a core contributor to o1Labs Operations. You will manage and improve key operations processes and programs, including managin"
Senior Full Stack Software Engineer,Ether.fi,"go, Ai, Ui, Web3",senior,Engineering,160000,200000,"About us: Ether.fi is one of the largest crypto companies in the world. We have over $10B in assets under management and a team of 30 almost all technical staff. Weâve been profitable day one and are focusing on building real consumer applications. The future we envisage is true on-chain banking. Our current products; Stake, Liquid, and Cash enable users to earn yield in a variety of DeFi strategies, and spend their assets in the real world with our credit cards. You can view public analytics "
